Date,No. of Passengers
Apr-15,"26,19,229"
May-15,"29,16,342"
Jun-15,"26,75,536"
Jul-15,"25,53,602"
Aug-15,"25,19,586"
Sep-15,"25,57,021"
Oct-15,"27,18,376"
Nov-15,"27,28,183"
Dec-15,"28,85,345"
Jan-16,"28,65,441"
Feb-16,"28,88,911"
Mar-16,"31,76,114"
Apr-16,"34,56,967"
May-16,"37,34,942"
Jun-16,"33,90,873"
Jul-16,"37,58,372"
Aug-16,"36,27,911"
Sep-16,"35,97,646"
Oct-16,"40,66,016"
Nov-16,"41,76,526"
Dec-16,"43,17,478"
Jan-17,"42,95,478"
Feb-17,"38,11,657"
Mar-17,"40,54,441"
Apr-17,"39,99,862"
May-17,"44,35,720"
Jun-17,"40,48,386"
Jul-17,"39,63,236"
Aug-17,"39,43,325"
Sep-17,"39,12,246"
Oct-17,"43,91,618"
Nov-17,"43,82,236"
Dec-17,"47,20,190"
Jan-18,"48,77,468"
Feb-18,"45,74,660"
Mar-18,"48,92,897"
Apr-18,"48,98,744"
May-18,"51,86,951"
Jun-18,"49,91,013"
Jul-18,"53,45,678"
Aug-18,"50,92,158"
Sep-18,"52,39,228"
Oct-18,"54,50,145"
Nov-18,"54,29,333"
Dec-18,"59,71,655"
Jan-19,"58,20,002"
Feb-19,"53,68,707"
Mar-19,"59,49,330"
Apr-19,"59,86,999"
May-19,"64,62,539"
Jun-19,"62,86,578"
Jul-19,"62,38,565"
Aug-19,"61,25,194"
Sep-19,"61,51,830"
Oct-19,"64,88,426"
Nov-19,"68,46,559"
Dec-19,"69,62,080"
Jan-20,"68,71,907"
Feb-20,"65,52,576"
Mar-20,"40,52,707"
Apr-20,0
May-20,"1,42,254"
Jun-20,"10,46,836"
Jul-20,"12,72,240"
Aug-20,"16,81,787"
Sep-20,"22,65,539"
Oct-20,"29,26,835"
Nov-20,"34,23,059"
Dec-20,"39,51,522"
Jan-21,"42,02,712"
Feb-21,"42,38,466"
Mar-21,"41,84,920"
Apr-21,"30,83,318"
May-21,"11,68,738"
Jun-21,"17,01,955"
Jul-21,"29,32,469"
Aug-21,"38,16,286"
Sep-21,"39,58,375"
Oct-21,"48,07,415"
Nov-21,"57,06,021"
Dec-21,"61,40,654"
Jan-22,"35,56,558"
Feb-22,"39,50,597"
Mar-22,"58,60,668"
Apr-22,"64,10,694"
May-22,"69,89,974"
Jun-22,"66,59,594"
Jul-22,"64,45,730"
Aug-22,"65,47,547"
Sep-22,"66,52,810"
Oct-22,"71,78,149"
Nov-22,"72,50,201"
Dec-22,"78,10,639"
Jan-23,"76,64,272"
Feb-23,"75,04,642"
Mar-23,"81,51,131"
